,DBN,School Name,BN,Number of Students_K_G&T,Number of Classes_K_G&T,Average Class Size_K_G&T,Minimum Class Size_K_G&T,Maximum Class Size_K_G&T,Number of Students_K_ICT,Number of Classes_K_ICT,Average Class Size_K_ICT,Minimum Class Size_K_ICT,Maximum Class Size_K_ICT,Number of Students_K_Gen Ed,Number of Classes_K_Gen Ed,Average Class Size_K_Gen Ed,Minimum Class Size_K_Gen Ed,Maximum Class Size_K_Gen Ed,Number of Students_K_ICT & G&T,Number of Classes_K_ICT & G&T,Average Class Size_K_ICT & G&T,Minimum Class Size_K_ICT & G&T,Maximum Class Size_K_ICT & G&T,Number of Students_1_G&T,Number of Classes_1_G&T,Average Class Size_1_G&T,Minimum Class Size_1_G&T,Maximum Class Size_1_G&T,Number of Students_1_ICT,Number of Classes_1_ICT,Average Class Size_1_ICT,Minimum Class Size_1_ICT,Maximum Class Size_1_ICT,Number of Students_1_Gen Ed,Number of Classes_1_Gen Ed,Average Class Size_1_Gen Ed,Minimum Class Size_1_Gen Ed,Maximum Class Size_1_Gen Ed,Number of Students_1_ICT & G&T,Number of Classes_1_ICT & G&T,Average Class Size_1_ICT & G&T,Minimum Class Size_1_ICT & G&T,Maximum Class Size_1_ICT & G&T,Number of Students_2_G&T,Number of Classes_2_G&T,Average Class Size_2_G&T,Minimum Class Size_2_G&T,Maximum Class Size_2_G&T,Number of Students_2_ICT,Number of Classes_2_ICT,Average Class Size_2_ICT,Minimum Class Size_2_ICT,Maximum Class Size_2_ICT,Number of Students_2_Gen Ed,Number of Classes_2_Gen Ed,Average Class Size_2_Gen Ed,Minimum Class Size_2_Gen Ed,Maximum Class Size_2_Gen Ed,Number of Students_2_ICT & G&T,Number of Classes_2_ICT & G&T,Average Class Size_2_ICT & G&T,Minimum Class Size_2_ICT & G&T,Maximum Class Size_2_ICT & G&T,Number of Students_3_G&T,Number of Classes_3_G&T,Average Class Size_3_G&T,Minimum Class Size_3_G&T,Maximum Class Size_3_G&T,Number of Students_3_ICT,Number of Classes_3_ICT,Average Class Size_3_ICT,Minimum Class Size_3_ICT,Maximum Class Size_3_ICT,Number of Students_3_Gen Ed,Number of Classes_3_Gen Ed,Average Class Size_3_Gen Ed,Minimum Class Size_3_Gen Ed,Maximum Class Size_3_Gen Ed,Number of Students_3_ICT & G&T,Number of Classes_3_ICT & G&T,Average Class Size_3_ICT & G&T,Minimum Class Size_3_ICT & G&T,Maximum Class Size_3_ICT & G&T,Number of Students_4_G&T,Number of Classes_4_G&T,Average Class Size_4_G&T,Minimum Class Size_4_G&T,Maximum Class Size_4_G&T,Number of Students_4_ICT,Number of Classes_4_ICT,Average Class Size_4_ICT,Minimum Class Size_4_ICT,Maximum Class Size_4_ICT,Number of Students_4_Gen Ed,Number of Classes_4_Gen Ed,Average Class Size_4_Gen Ed,Minimum Class Size_4_Gen Ed,Maximum Class Size_4_Gen Ed,Number of Students_4_ICT & G&T,Number of Classes_4_ICT & G&T,Average Class Size_4_ICT & G&T,Minimum Class Size_4_ICT & G&T,Maximum Class Size_4_ICT & G&T,Number of Students_5_G&T,Number of Classes_5_G&T,Average Class Size_5_G&T,Minimum Class Size_5_G&T,Maximum Class Size_5_G&T,Number of Students_5_ICT,Number of Classes_5_ICT,Average Class Size_5_ICT,Minimum Class Size_5_ICT,Maximum Class Size_5_ICT,Number of Students_5_Gen Ed,Number of Classes_5_Gen Ed,Average Class Size_5_Gen Ed,Minimum Class Size_5_Gen Ed,Maximum Class Size_5_Gen Ed,Number of Students_5_ICT & G&T,Number of Classes_5_ICT & G&T,Average Class Size_5_ICT & G&T,Minimum Class Size_5_ICT & G&T,Maximum Class Size_5_ICT & G&T,Number of Students_6_ICT,Number of Classes_6_ICT,Average Class Size_6_ICT,Minimum Class Size_6_ICT,Maximum Class Size_6_ICT,Number of Students_6_Gen Ed,Number of Classes_6_Gen Ed,Average Class Size_6_Gen Ed,Minimum Class Size_6_Gen Ed,Maximum Class Size_6_Gen Ed,Number of Students_7_ICT,Number of Classes_7_ICT,Average Class Size_7_ICT,Minimum Class Size_7_ICT,Maximum Class Size_7_ICT,Number of Students_7_Gen Ed,Number of Classes_7_Gen Ed,Average Class Size_7_Gen Ed,Minimum Class Size_7_Gen Ed,Maximum Class Size_7_Gen Ed,Number of Students_8_ICT,Number of Classes_8_ICT,Average Class Size_8_ICT,Minimum Class Size_8_ICT,Maximum Class Size_8_ICT,Number of Students_8_Gen Ed,Number of Classes_8_Gen Ed,Average Class Size_8_Gen Ed,Minimum Class Size_8_Gen Ed,Maximum Class Size_8_Gen Ed,Number of Students_K-8 SC_SC 12:1:1,Number of Classes_K-8 SC_SC 12:1:1,Average Class Size_K-8 SC_SC 12:1:1,Minimum Class Size_K-8 SC_SC 12:1:1,Maximum Class Size_K-8 SC_SC 12:1:1,Number of Students_K-8 SC_SC 12:1,Number of Classes_K-8 SC_SC 12:1,Average Class Size_K-8 SC_SC 12:1,Minimum Class Size_K-8 SC_SC 12:1,Maximum Class Size_K-8 SC_SC 12:1,Number of Students_K-8 SC_SC 6:1:1,Number of Classes_K-8 SC_SC 6:1:1,Average Class Size_K-8 SC_SC 6:1:1,Minimum Class Size_K-8 SC_SC 6:1:1,Maximum Class Size_K-8 SC_SC 6:1:1,Number of Students_K-8 SC_SC 8:1:1,Number of Classes_K-8 SC_SC 8:1:1,Average Class Size_K-8 SC_SC 8:1:1,Minimum Class Size_K-8 SC_SC 8:1:1,Maximum Class Size_K-8 SC_SC 8:1:1,Number of Students_K-8 SC_SC 15:1,Number of Classes_K-8 SC_SC 15:1,Average Class Size_K-8 SC_SC 15:1,Minimum Class Size_K-8 SC_SC 15:1,Maximum Class Size_K-8 SC_SC 15:1
823,24Q330,PS 330,Q330,,,,,,24,1,24,24,24,48,2,24,24,24,,,,,,,,,,,32,1,32,32,32,32,1,32,32,32,,,,,,,,,,,31,1,31,31,31,31,1,31,31,31,,,,,,22,1,22,22,22,32,1,32,32,32,81,3,27,26,29,,,,,,16,1,16,16,16,30,1,30,30,30,84,3,28,25,30,,,,,,18,1,18,18,18,29,1,29,29,29,32,1,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,4,12,11,13,,,,,,,,,,,,,,,,,,,,
824,24Q343,THE CHILDREN'S LAB SCHOOL,Q343,,,,,,24,1,24,24,24,46,2,23,23,23,,,,,,,,,,,22,1,22,22,22,64,3,21.33333,19,23,,,,,,,,,,,29,1,29,29,29,55,2,27.5,26,29,,,,,,,,,,,27,1,27,27,27,53,2,26.5,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,11,11,11,,,,,,,,,,,,,,,,,,,,
825,24Q560,"ROBERT F WAGNER, JR SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",Q560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,1,47,>34,>34,,,,,,58,1,58,>34,>34,,,,,,,,,,,49,1,49,>34,>34,,,,,,,,,,,,,,,,,,,,,,,,,
826,24Q877,THE 51 AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE),Q877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,2,26.5,26,27,153,6,25.5,21,29,,,,,,,,,,,53,2,26.5,25,28,156,6,26,23,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2,10.5,9,12,,,,,,,,,,,,,,,,,,,,
827,25Q020,PS 020 JOHN BOWNE,Q020,,,,,,22,1,22,22,22,194,8,24.25,23,25,,,,,,,,,,,30,1,30,30,30,187,7,26.71428,22,31,,,,,,,,,,,54,2,27,24,30,106,4,26.5,25,29,,,,,,,,,,,31,1,31,31,31,140,5,28,26,29,,,,,,,,,,,27,1,27,27,27,159,6,26.5,24,28,,,,,,,,,,,57,2,28.5,28,29,154,5,30.8,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,5,10.2,8,12,,,,,,,,,,,,,,,,,,,,
828,25Q021,PS 021 EDWARD HART,Q021,21,1,21,21,21,22,1,22,22,22,144,6,24,21,25,,,,,,31,1,31,31,31,28,1,28,28,28,151,5,30.2,29,31,,,,,,31,1,31,31,31,23,1,23,23,23,135,5,27,26,29,,,,,,32,1,32,32,32,31,1,31,31,31,157,5,31.4,31,32,,,,,,30,1,30,30,30,52,2,26,25,27,145,5,29,26,32,,,,,,29,1,29,29,29,29,1,29,29,29,186,6,31,30,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,6,10.16666,7,12,,,,,,,,,,,,,,,,,,,,
829,25Q022,PS 022 THOMAS JEFFERSON,Q022,,,,,,26,1,26,26,26,123,5,24.6,23,25,,,,,,,,,,,27,1,27,27,27,124,5,24.8,24,26,,,,,,,,,,,24,1,24,24,24,121,5,24.2,23,26,,,,,,,,,,,27,1,27,27,27,119,4,29.75,29,31,,,,,,,,,,,25,1,25,25,25,102,4,25.5,23,27,,,,,,,,,,,54,2,27,27,27,85,3,28.33333,27,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3,9.333333,7,13,,,,,,,,,,,,,,,
830,25Q024,PS 024 ANDREW JACKSON,Q024,,,,,,25,1,25,25,25,100,4,25,25,25,,,,,,,,,,,31,1,31,31,31,106,4,26.5,25,28,,,,,,,,,,,,,,,,145,5,29,27,32,,,,,,,,,,,63,2,31.5,31,32,93,3,31,30,32,,,,,,,,,,,30,1,30,30,30,156,5,31.2,30,32,,,,,,,,,,,62,2,31,31,31,144,5,28.8,27,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,4,9.25,6,12,,,,,,,,,,,,,,,,,,,,
831,25Q025,IS 025 ADRIEN BLOCK,Q025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,3,32,32,32,228,7,32.57142,31,34,95,3,31.66666,30,33,225,7,32.14285,30,34,121,4,30.25,27,32,196,6,32.66666,32,33,20,2,10,10,10,16,2,8,8,8,,,,,,,,,,,,,,,
832,25Q029,PS 029 QUEENS,Q029,,,,,,21,1,21,21,21,93,4,23.25,21,25,,,,,,,,,,,27,1,27,27,27,71,3,23.66666,23,24,,,,,,,,,,,21,1,21,21,21,92,3,30.66666,30,32,,,,,,,,,,,27,1,27,27,27,87,3,29,27,31,,,,,,,,,,,29,1,29,29,29,74,3,24.66666,22,29,,,,,,,,,,,26,1,26,26,26,89,3,29.66666,28,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,4,8.75,7,12,,,,,,,,,,,,,,,,,,,,
833,25Q032,PS 032 STATE STREET,Q032,25,1,25,25,25,26,1,26,26,26,106,4,26.5,25,28,,,,,,30,1,30,30,30,29,1,29,29,29,111,4,27.75,25,29,,,,,,32,1,32,32,32,32,1,32,32,32,86,3,28.66666,21,33,,,,,,32,1,32,32,32,25,1,25,25,25,96,4,24,23,25,,,,,,32,1,32,32,32,30,1,30,30,30,72,3,24,<15,30,,,,,,29,1,29,29,29,31,1,31,31,31,86,3,28.66666,26,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,4,9.25,6,12,,,,,,,,,,,,,,,,,,,,
834,25Q079,PS 079 FRANCIS LEWIS,Q079,24,1,24,24,24,25,1,25,25,25,123,5,24.6,24,25,,,,,,62,2,31,31,31,25,1,25,25,25,80,3,26.66666,26,28,,,,,,63,2,31.5,31,32,26,1,26,26,26,82,3,27.33333,25,29,,,,,,62,2,31,30,32,30,1,30,30,30,95,3,31.66666,31,32,,,,,,63,2,31.5,31,32,62,2,31,30,32,63,2,31.5,31,32,,,,,,64,2,32,32,32,32,1,32,32,32,95,3,31.66666,31,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,6,<6,7,10,1,10,10,10,,,,,,,,,,,,,,,
835,25Q107,PS 107 THOMAS A DOOLEY,Q107,,,,,,47,2,23.5,23,24,126,5,25.2,23,28,,,,,,,,,,,27,1,27,27,27,101,4,25.25,24,27,,,,,,,,,,,26,1,26,26,26,103,4,25.75,24,28,,,,,,,,,,,19,1,19,19,19,99,4,24.75,23,27,,,,,,,,,,,61,2,30.5,30,31,90,3,30,29,31,,,,,,,,,,,28,1,28,28,28,103,4,25.75,24,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,6,11.33333,7,13,,,,,,,,,,,,,,,,,,,,
836,25Q120,PS 120 QUEENS,Q120,,,,,,49,2,24.5,24,25,122,5,24.4,23,25,,,,,,,,,,,19,1,19,19,19,137,5,27.4,25,30,,,,,,,,,,,22,1,22,22,22,105,4,26.25,25,28,,,,,,,,,,,25,1,25,25,25,119,5,23.8,20,29,,,,,,,,,,,29,1,29,29,29,139,5,27.8,25,30,,,,,,,,,,,49,2,24.5,22,27,130,5,26,23,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,12,12,12,23,2,11.5,11,12,,,,,,,,,,,,,,,
837,25Q129,PS 129 PATRICIA LARKIN,Q129,,,,,,50,2,25,25,25,124,5,24.8,24,25,,,,,,,,,,,24,1,24,24,24,139,6,23.16666,22,26,,,,,,,,,,,51,2,25.5,25,26,116,5,23.2,22,24,,,,,,,,,,,48,2,24,23,25,127,5,25.4,19,29,,,,,,,,,,,60,2,30,30,30,117,4,29.25,28,30,,,,,,,,,,,59,2,29.5,28,31,121,4,30.25,27,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,5,11.4,11,12,,,,,,,,,,,,,,,,,,,,
838,25Q130,PS 130,Q130,,,,,,26,1,26,26,26,49,2,24.5,24,25,,,,,,,,,,,31,1,31,31,31,51,2,25.5,24,27,,,,,,,,,,,22,1,22,22,22,47,2,23.5,23,24,,,,,,,,,,,23,1,23,23,23,47,2,23.5,23,24,,,,,,,,,,,30,1,30,30,30,29,1,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,7,7,7,,,,,,,,,,,,,,,,,,,,
839,25Q154,PS 154 QUEENS,Q154,,,,,,23,1,23,23,23,63,3,21,20,22,,,,,,,,,,,26,1,26,26,26,69,3,23,21,25,,,,,,,,,,,25,1,25,25,25,72,3,24,22,25,,,,,,,,,,,28,1,28,28,28,80,3,26.66666,26,27,,,,,,,,,,,27,1,27,27,27,76,3,25.33333,23,27,,,,,,,,,,,24,1,24,24,24,82,3,27.33333,26,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,4,10.25,10,11,,,,,,,,,,,,,,,,,,,,
840,25Q163,PS 163 FLUSHING HEIGHTS,Q163,,,,,,22,1,22,22,22,119,5,23.8,23,25,,,,,,,,,,,24,1,24,24,24,96,4,24,22,27,,,,,,,,,,,62,2,31,31,31,54,2,27,26,28,,,,,,,,,,,30,1,30,30,30,73,3,24.33333,21,29,,,,,,,,,,,32,1,32,32,32,82,3,27.33333,24,32,,,,,,,,,,,33,1,33,33,33,76,3,25.33333,21,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,4,7.25,6,10,,,,,,,,,,,,,,,,,,,,
841,25Q164,PS 164 QUEENS VALLEY,Q164,,,,,,19,1,19,19,19,42,2,21,21,21,,,,,,,,,,,32,1,32,32,32,33,1,33,33,33,,,,,,,,,,,,,,,,60,2,30,29,31,,,,,,,,,,,25,1,25,25,25,48,2,24,24,24,,,,,,,,,,,22,1,22,22,22,40,2,20,18,22,,,,,,,,,,,27,1,27,27,27,26,1,26,26,26,,,,,,30,1,30,30,30,60,2,30,30,30,29,1,29,29,29,58,2,29,29,29,27,1,27,27,27,56,2,28,28,28,24,3,8,<6,11,,,,,,,,,,,,,,,,,,,,
842,25Q165,PS 165 EDITH K BERGTRAUM,Q165,21,1,21,21,21,45,3,15,<15,24,41,2,20.5,20,21,,,,,,28,1,28,28,28,63,3,21,17,28,28,1,28,28,28,,,,,,30,1,30,30,30,84,5,16.8,<15,21,,,,,,,,,,,31,1,31,31,31,52,3,17.33333,15,19,16,1,16,16,16,,,,,,48,2,24,23,25,54,3,18,<15,25,16,1,16,16,16,,,,,,50,2,25,25,25,59,3,19.66666,16,25,21,1,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3,10.66666,9,12,,,,,,4,1,4,<6,<6,,,,,,,,,,
843,25Q169,PS 169 BAY TERRACE,Q169,,,,,,21,1,21,21,21,47,2,23.5,23,24,,,,,,,,,,,30,1,30,30,30,31,1,31,31,31,,,,,,,,,,,24,1,24,24,24,48,2,24,24,24,,,,,,,,,,,31,1,31,31,31,31,1,31,31,31,,,,,,,,,,,52,2,26,25,27,23,1,23,23,23,,,,,,,,,,,49,2,24.5,24,25,22,1,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,25Q184,PS 184 FLUSHING MANOR,Q184,,,,,,20,1,20,20,20,58,3,19.33333,19,20,,,,,,,,,,,27,1,27,27,27,53,2,26.5,25,28,,,,,,,,,,,26,1,26,26,26,50,2,25,25,25,,,,,,,,,,,28,1,28,28,28,47,2,23.5,22,25,,,,,,,,,,,27,1,27,27,27,50,2,25,24,26,,,,,,,,,,,32,1,32,32,32,64,2,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,<6,<6,,,,,,,,,,,,,,,
845,25Q185,JHS 185 EDWARD BLEEKER,Q185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,4,29.25,29,30,349,12,29.08333,26,30,112,4,28,27,29,360,12,30,27,31,90,3,30,30,30,425,14,30.35714,30,32,69,7,9.857142,7,13,,,,,,,,,,,,,,,,,,,,
846,25Q189,JHS 189 DANIEL CARTER BEARD,Q189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,2,26,24,28,196,7,28,26,30,59,2,29.5,28,31,176,6,29.33333,29,30,58,2,29,28,30,175,6,29.16666,26,31,38,3,12.66666,12,13,14,1,14,14,14,,,,,,,,,,,,,,,
847,25Q193,PS 193 ALFRED J KENNEDY,Q193,,,,,,22,1,22,22,22,72,3,24,23,25,,,,,,,,,,,23,1,23,23,23,66,3,22,21,23,,,,,,,,,,,24,1,24,24,24,45,2,22.5,22,23,,,,,,,,,,,24,1,24,24,24,48,2,24,22,26,,,,,,28,1,28,28,28,18,1,18,18,18,42,2,21,21,21,,,,,,24,1,24,24,24,25,1,25,25,25,55,2,27.5,27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,7.5,6,9,,,,,,,,,,,,,,,,,,,,
848,25Q194,JHS 194 WILLIAM CARR,Q194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,5,28.6,25,31,275,9,30.55555,25,33,123,4,30.75,29,32,280,9,31.11111,23,33,115,4,28.75,23,32,260,8,32.5,29,33,40,4,10,9,12,,,,,,,,,,,,,,,,,,,,
849,25Q200,PS/MS 200 - THE POMONOK SCHOOL & STAR ACADEMY,Q200,,,,,,23,1,23,23,23,23,1,23,23,23,,,,,,,,,,,23,1,23,23,23,22,1,22,22,22,,,,,,,,,,,22,1,22,22,22,20,1,20,20,20,,,,,,,,,,,24,1,24,24,24,25,1,25,25,25,,,,,,,,,,,23,1,23,23,23,23,1,23,23,23,,,,,,,,,,,24,1,24,24,24,22,1,22,22,22,,,,,,29,1,29,29,29,31,1,31,31,31,29,1,29,29,29,31,1,31,31,31,33,1,33,33,33,33,1,33,33,33,,,,,,17,2,8.5,8,9,,,,,,,,,,,,,,,
850,25Q201,PS 201 THE DISCOVERY SCHOOL FOR INQUIRY AND RESEARCH,Q201,,,,,,21,1,21,21,21,36,2,18,17,19,,,,,,,,,,,23,1,23,23,23,50,2,25,25,25,,,,,,,,,,,26,1,26,26,26,43,2,21.5,20,23,,,,,,,,,,,20,1,20,20,20,35,2,17.5,17,18,,,,,,,,,,,21,1,21,21,21,44,2,22,22,22,,,,,,,,,,,23,1,23,23,23,42,2,21,20,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,6,7.5,<6,12,,,,,,,,,,,,,,,,,,,,
851,25Q209,PS 209 CLEARVIEW GARDENS,Q209,23,1,23,23,23,23,1,23,23,23,66,3,22,21,24,,,,,,32,1,32,32,32,54,2,27,25,29,25,1,25,25,25,,,,,,31,1,31,31,31,26,1,26,26,26,26,1,26,26,26,,,,,,29,1,29,29,29,,,,,,59,2,29.5,29,30,,,,,,,,,,,27,1,27,27,27,60,2,30,29,31,,,,,,,,,,,28,1,28,28,28,53,2,26.5,24,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,25Q214,PS 214 CADWALLADER COLDEN,Q214,,,,,,26,1,26,26,26,26,1,26,26,26,,,,,,,,,,,23,1,23,23,23,22,1,22,22,22,,,,,,,,,,,27,1,27,27,27,26,1,26,26,26,,,,,,29,1,29,29,29,24,1,24,24,24,25,1,25,25,25,,,,,,27,1,27,27,27,31,1,31,31,31,57,2,28.5,27,30,,,,,,47,2,23.5,22,25,28,1,28,28,28,77,3,25.66666,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,25Q219,PS 219 PAUL KLAPPER,Q219,,,,,,17,1,17,17,17,21,1,21,21,21,,,,,,,,,,,,,,,,50,2,25,25,25,,,,,,,,,,,22,1,22,22,22,22,1,22,22,22,,,,,,,,,,,29,1,29,29,29,29,1,29,29,29,,,,,,,,,,,29,1,29,29,29,32,1,32,32,32,,,,,,,,,,,29,1,29,29,29,31,1,31,31,31,,,,,,66,3,22,19,24,,,,,,76,3,25.33333,25,26,,,,,,45,2,22.5,22,23,20,1,20,20,20,35,5,7,<6,9,11,1,11,11,11,,,,,,40,6,6.666666,<6,8,,,,,
854,25Q237,IS 237,Q237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,4,24.25,19,28,320,12,26.66666,22,30,120,4,30,29,31,376,13,28.92307,19,31,89,3,29.66666,28,31,325,11,29.54545,29,30,10,2,5,<6,7,28,3,9.333333,8,11,,,,,,,,,,,,,,,
855,25Q242,PS 242 LEONARD P STAVISKY EARLY CHILDHOOD SCHOOL,Q242,,,,,,24,1,24,24,24,92,4,23,19,25,,,,,,,,,,,26,1,26,26,26,78,3,26,25,27,,,,,,,,,,,49,2,24.5,24,25,22,1,22,22,22,,,,,,,,,,,20,1,20,20,20,44,2,22,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,25Q244,THE ACTIVE LEARNING ELEMENTARY SCHOOL,Q244,,,,,,,,,,,124,5,24.8,24,25,,,,,,,,,,,,,,,,107,4,26.75,25,28,,,,,,,,,,,,,,,,87,3,29,28,30,,,,,,,,,,,,,,,,82,4,20.5,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2,9.5,8,11,,,,,,,,,,,,,,,,,,,,
857,25Q250,IS 250 THE ROBERT F KENNEDY COMMUNITY MIDDLE SCHOOL,Q250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,2,23,22,24,63,3,21,17,26,29,1,29,29,29,87,3,29,28,31,26,1,26,26,26,119,4,29.75,29,31,27,3,9,<6,12,,,,,,,,,,,,,,,,,,,,
858,25Q252,"QUEENS SCHOOL OF INQUIRY, THE",Q252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,3,22.66666,20,27,11,1,11,<15,<15,77,3,25.66666,20,34,8,1,8,<15,<15,62,3,20.66666,18,23,,,,,,,,,,,,,,,,,,,,,,,,,
859,25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,Q281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,4,23.75,20,25,,,,,,100,4,25,24,27,,,,,,105,4,26.25,22,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,Q285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,1,31,31,31,63,2,31.5,31,32,30,1,30,30,30,51,2,25.5,25,26,30,1,30,30,30,42,2,21,19,23,,,,,,,,,,,,,,,,,,,,,,,,,
861,25Q294,BELL ACADEMY,Q294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,2,32.5,32,33,65,2,32.5,31,34,28,1,28,28,28,61,2,30.5,29,32,62,2,31,30,32,65,2,32.5,32,33,28,3,9.333333,8,10,,,,,,,,,,,,,,,,,,,,
862,25Q499,"THE QUEENS COLLEGE SCHOOL FOR MATH, SCIENCE AND TECHNOLOGY",Q499,,,,,,,,,,,46,2,23,23,23,,,,,,,,,,,,,,,,51,2,25.5,24,27,,,,,,,,,,,,,,,,50,2,25,25,25,,,,,,,,,,,,,,,,54,2,27,25,29,,,,,,,,,,,,,,,,56,2,28,27,29,,,,,,,,,,,,,,,,58,2,29,28,30,,,,,,,,,,,66,2,33,33,33,,,,,,54,2,27,25,29,,,,,,53,2,26.5,26,27,,,,,,,,,,,,,,,,,,,,,,,,,
